organism,ec,lineage
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.11.1.15,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.1.1.133,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.1.1.14,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.11.1.6,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.1.1.169,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.1.1.205,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.1.1.23,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.1.1.25,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.1.1.261,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.1.1.3,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.1.1.302,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.1.1.34,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.1.1.38,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.1.1.41,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.1.1.85,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.1.1.86,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.1.1.95,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.12.99.-,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.1.3.15,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,1.15.1.2,cellular organisms;Archaea;Euryarchaeota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Candidatus Methanomassiliicoccus intestinalis;Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1
