organism,color
Methanobacterium arcticum,#d9d9d9
Methanobrevibacter millerae,#d9d9d9
Methanosphaera stadtmanae DSM 3091,#d9d9d9
Methanothermobacter marburgensis str. Marburg,#d9d9d9
Methanothermus fervidus DSM 2088,#d9d9d9
Methanocaldococcus jannaschii DSM 2661,#bdbdbd
Methanotorris formicicus Mc-S-70,#bdbdbd
Methanococcus maripaludis C5,#bdbdbd
Methanothermococcus okinawensis IH1,#bdbdbd
Methanocella arvoryzae MRE50,#969696
Methanocorpusculum bavaricum DSM 4179,#737373
Methanoculleus marisnigri JR1,#737373
Methanofollis liminatans DSM 4140,#737373
Methanolacinia petrolearia DSM 11571,#737373
Methanomicrobium mobile BP,#737373
Methanoplanus limicola DSM 2279,#737373
Methanolinea tarda NOBI-1,#737373
Methanoregula boonei 6A8,#737373
Methanosphaerula palustris E1-9c,#737373
Methanospirillum hungatei JF-1,#737373
Candidatus Methanoperedens nitroreducens,#c6dbef
Candidatus Methanoperedens sp. BLZ1,#c6dbef
Methanosarcinales archaeon ex4484-138,#c6dbef
Methanosarcinales archaeon ex4572-44,#c6dbef
Methanosaeta concilii GP6,#525252
Methanosaeta harundinacea 6Ac,#525252
Methanosaeta sp. S5133MB62,#525252
Methanosaeta thermophila PT,#525252
Methanococcoides burtonii DSM 6242,#525252
Methanohalobium evestigatum Z-7303,#525252
Methanohalophilus mahii DSM 5219,#525252
Methanolobus psychrophilus R15,#525252
Methanomethylovorans hollandica DSM 15978,#525252
Methanosalsum zhilinae DSM 4017,#525252
Methanosarcina acetivorans C2A,#525252
Methermicoccus shengliensis DSM 18856,#525252
Candidatus Methanomethylophilus alvus Mx1201,#252525
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,#252525
Methanomassiliicoccus luminyensis B10,#252525
